x, y
autogen1:Match767, ""2013-10-10T00:00:00"^^xsd:dateTime"
autogen1:Match770, ""2013-10-10T00:00:00"^^xsd:dateTime"
autogen1:Match771, ""2013-10-10T00:00:00"^^xsd:dateTime"
autogen1:Match773, ""2013-10-10T00:00:00"^^xsd:dateTime"
autogen1:Match156, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match157, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match158, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match160, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match165, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match172, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match178, ""2013-10-26T00:00:00"^^xsd:dateTime"
autogen1:Match114, ""2013-11-08T00:00:00"^^xsd:dateTime"
autogen1:Match181, ""2013-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match281, ""2013-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match162, ""2014-01-31T00:00:00"^^xsd:dateTime"
autogen1:Match164, ""2014-01-31T00:00:00"^^xsd:dateTime"
autogen1:Match173, ""2014-01-31T00:00:00"^^xsd:dateTime"
autogen1:Match270, ""2014-04-20T00:00:00"^^xsd:dateTime"
autogen1:Match884, ""2014-05-24T00:00:00"^^xsd:dateTime"
autogen1:Match902, ""2014-05-24T00:00:00"^^xsd:dateTime"
autogen1:Match944, ""2014-05-24T00:00:00"^^xsd:dateTime"
autogen1:Match975, ""2014-05-24T00:00:00"^^xsd:dateTime"
autogen1:Match188, ""2014-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match193, ""2014-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match195, ""2014-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match196, ""2014-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match199, ""2014-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match190, ""2014-11-08T00:00:00"^^xsd:dateTime"
autogen1:Match194, ""2014-11-08T00:00:00"^^xsd:dateTime"
autogen1:Match137, ""2014-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match226, ""2014-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match259, ""2014-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match303, ""2014-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match189, ""2014-11-29T00:00:00"^^xsd:dateTime"
autogen1:Match191, ""2014-11-29T00:00:00"^^xsd:dateTime"
autogen1:Match197, ""2014-11-29T00:00:00"^^xsd:dateTime"
autogen1:Match143, ""2015-04-25T00:00:00"^^xsd:dateTime"
autogen1:Match145, ""2015-04-25T00:00:00"^^xsd:dateTime"
autogen1:Match149, ""2015-04-25T00:00:00"^^xsd:dateTime"
autogen1:Match124, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match125, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match129, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match130, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match132, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match134, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match136, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match139, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match140, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match141, ""2015-05-30T00:00:00"^^xsd:dateTime"
autogen1:Match127, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match128, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match131, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match133, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match135, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match138, ""2015-07-10T00:00:00"^^xsd:dateTime"
autogen1:Match42, ""2015-10-23T00:00:00"^^xsd:dateTime"
autogen1:Match115, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match159, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match170, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match203, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match214, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match248, ""2015-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match180, ""2015-11-14T00:00:00"^^xsd:dateTime"
autogen1:Match182, ""2015-11-14T00:00:00"^^xsd:dateTime"
autogen1:Match103, ""2015-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match81, ""2015-12-21T00:00:00"^^xsd:dateTime"
autogen1:Match73, ""2016-03-04T00:00:00"^^xsd:dateTime"
autogen1:Match80, ""2016-03-04T00:00:00"^^xsd:dateTime"
autogen1:Match32, ""2016-05-13T00:00:00"^^xsd:dateTime"
autogen1:Match6, ""2016-05-13T00:00:00"^^xsd:dateTime"
autogen1:Match871, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match873, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match874, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match898, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match919, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match985, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match999, ""2016-07-30T00:00:00"^^xsd:dateTime"
autogen1:Match59, ""2016-09-18T00:00:00"^^xsd:dateTime"
autogen1:Match70, ""2016-09-18T00:00:00"^^xsd:dateTime"
autogen1:Match872, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match921, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match956, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match986, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match989, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match998, ""2017-04-01T00:00:00"^^xsd:dateTime"
autogen1:Match144, ""2017-05-27T00:00:00"^^xsd:dateTime"
autogen1:Match147, ""2017-05-27T00:00:00"^^xsd:dateTime"
autogen1:Match150, ""2017-05-27T00:00:00"^^xsd:dateTime"
autogen1:Match151, ""2017-05-27T00:00:00"^^xsd:dateTime"
autogen1:Match152, ""2017-05-27T00:00:00"^^xsd:dateTime"
autogen1:Match10, ""2017-06-30T00:00:00"^^xsd:dateTime"
autogen1:Match16, ""2017-06-30T00:00:00"^^xsd:dateTime"
autogen1:Match31, ""2017-06-30T00:00:00"^^xsd:dateTime"
autogen1:Match41, ""2017-06-30T00:00:00"^^xsd:dateTime"
autogen1:Match77, ""2017-06-30T00:00:00"^^xsd:dateTime"
autogen1:Match126, ""2017-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match148, ""2017-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match192, ""2017-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match237, ""2017-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match292, ""2017-11-11T00:00:00"^^xsd:dateTime"
autogen1:Match198, ""2017-11-27T00:00:00"^^xsd:dateTime"
autogen1:Match40, ""2017-12-01T00:00:00"^^xsd:dateTime"
autogen1:Match72, ""2017-12-01T00:00:00"^^xsd:dateTime"
autogen1:Match76, ""2017-12-01T00:00:00"^^xsd:dateTime"
autogen1:Match900, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match928, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match952, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match971, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match994, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match997, ""2018-01-27T00:00:00"^^xsd:dateTime"
autogen1:Match20, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match30, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match39, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match58, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match7, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match71, ""2018-03-02T00:00:00"^^xsd:dateTime"
autogen1:Match38, ""2018-03-16T00:00:00"^^xsd:dateTime"
